time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-12 00:00:00+00:00,1,1,0,0
2025-02-14 00:00:00+00:00,1,1,0,0
2025-02-18 00:00:00+00:00,0,0,1,1
2025-02-20 00:00:00+00:00,1,1,3,1
2025-02-23 00:00:00+00:00,1,1,0,0
2025-02-24 00:00:00+00:00,0,0,2,1
2025-02-28 00:00:00+00:00,1,1,1,1
2025-03-04 00:00:00+00:00,1,1,0,0
2025-03-05 00:00:00+00:00,1,1,0,0
2025-03-06 00:00:00+00:00,0,0,1,1
2025-03-07 00:00:00+00:00,1,1,0,0
2025-03-10 00:00:00+00:00,1,1,0,0
2025-03-11 00:00:00+00:00,2,2,1,1
2025-03-12 00:00:00+00:00,0,0,1,1
2025-03-19 00:00:00+00:00,1,1,0,0
2025-03-22 00:00:00+00:00,2,2,9,2
2025-03-23 00:00:00+00:00,1,1,0,0
2025-03-25 00:00:00+00:00,0,0,1,1
2025-03-31 00:00:00+00:00,2,2,1,1
2025-04-01 00:00:00+00:00,6,4,0,0
2025-04-02 00:00:00+00:00,1,1,1,1
2025-04-03 00:00:00+00:00,2,2,0,0
2025-04-04 00:00:00+00:00,2,2,0,0
2025-04-05 00:00:00+00:00,0,0,4,1
2025-04-07 00:00:00+00:00,2,1,2,2
2025-04-10 00:00:00+00:00,14,3,0,0
2025-04-11 00:00:00+00:00,13,3,0,0
2025-04-14 00:00:00+00:00,0,0,1,1
2025-04-15 00:00:00+00:00,1,1,0,0
2025-04-16 00:00:00+00:00,1,1,2,2
2025-04-20 00:00:00+00:00,0,0,1,1
2025-04-22 00:00:00+00:00,1,1,0,0
2025-04-23 00:00:00+00:00,1,1,1,1
2025-04-25 00:00:00+00:00,1,1,1,1
2025-04-26 00:00:00+00:00,1,1,0,0
2025-04-27 00:00:00+00:00,1,1,1,1
2025-04-28 00:00:00+00:00,1,1,1,1
2025-04-29 00:00:00+00:00,1,1,0,0
2025-04-30 00:00:00+00:00,1,1,0,0
2025-05-02 00:00:00+00:00,0,0,1,1
2025-05-06 00:00:00+00:00,2,2,0,0
2025-05-09 00:00:00+00:00,1,1,2,1
2025-05-15 00:00:00+00:00,2,2,1,1
2025-05-18 00:00:00+00:00,0,0,6,1
2025-05-19 00:00:00+00:00,0,0,1,1
2025-05-20 00:00:00+00:00,0,0,1,1
2025-05-22 00:00:00+00:00,1,1,0,0
2025-05-24 00:00:00+00:00,3,3,0,0
2025-05-25 00:00:00+00:00,2,2,0,0
2025-05-26 00:00:00+00:00,1,1,5,1
2025-05-30 00:00:00+00:00,1,1,0,0
2025-05-31 00:00:00+00:00,1,1,0,0
2025-06-01 00:00:00+00:00,1,1,2,2
2025-06-02 00:00:00+00:00,0,0,2,2
2025-06-03 00:00:00+00:00,1,1,0,0
2025-06-05 00:00:00+00:00,0,0,1,1
2025-06-07 00:00:00+00:00,1,1,0,0
2025-06-09 00:00:00+00:00,0,0,1,1
2025-06-10 00:00:00+00:00,1,1,0,0
2025-06-11 00:00:00+00:00,1,1,0,0
2025-06-12 00:00:00+00:00,0,0,1,1
2025-06-13 00:00:00+00:00,0,0,10,1
2025-06-14 00:00:00+00:00,1,1,0,0
2025-06-16 00:00:00+00:00,0,0,2,1
2025-06-22 00:00:00+00:00,1,1,8,1
